Key,English,Russian
FoodLabel,ЕЖА,ЕДА
Settings,НАЛАДЫ,НАСТРОЙКИ
SaveGame,Захаваць гульню,Сохранить игру
Sound,Гук,Звук
Tackles,АСНАДА,ОСНАСТКА
Rods,Вуды,Удочки
Reels,Катушкі,Катушки
Lines,Лескі,Лески
Hooks,Гаплікі,Крючки
Groundbait,ПРЫКОРМКА,ПРИКОРМКА
Profile,ПРОФІЛЬ,ПРОФИЛЬ
FoodShop,КРАМА ЕЖЫ,МАГАЗИН ЕДЫ
Buy,Набыць,Купить
Detach,Зняць,Снять
TakeOut,Вынуць,Достать
Image,0,1
Monday,Панядзелак,Понедельник
Tuesday,Аўторак,Вторник
Wednesday,Серада,Среда
Thursday,Чацвер,Четверг
Friday,Пятніца,Пятница
Saturday,Субота,Суббота
Sunday,Нядзеля,Воскресенье
Панядзелак,Панядзелак,Понедельник
Аўторак,Аўторак,Вторник
Серада,Серада,Среда
Чацвер,Чацвер,Четверг
Пятніца,Пятніца,Пятница
Субота,Субота,Суббота
Нядзеля,Нядзеля,Воскресенье
Понедельник,Панядзелак,Понедельник
Вторник,Аўторак,Вторник
Среда,Серада,Среда
Четверг,Чацвер,Четверг
Пятница,Пятніца,Пятница
Суббота,Субота,Суббота
Воскресенье,Нядзеля,Воскресенье
Eat,З'есці,Съесть
Соst,Кошт:,Цена:
Use,Выкарыстаць,Использовать
Baits,ПРЫНАДЫ,НАЖИВКИ
Апельсины,Апельcіны ,Апельсины 
Апельсіны,Апельcіны ,Апельсины 
Хлеб,Хлеб,Хлеб
TackleShop,КРАМА АСНАДЫ,МАГАЗИН СНАСТЕЙ
Maps,Мапа,Карта
Naroc,Нарач,Нарочь
Deep,ГЛЫБІНЯ,ГЛУБИНА
BaitsK,Прынады,Наживки
GroundbC,Прыкорм,Прикормка
